;Publication Type;Authors;Book Authors;Group Authors;Book Group Authors;Researcher Ids;ORCIDs;Book Editors;Author - Arabic;Grant Principal Investigator;Grant Co Principal Investigator;Article Title;Article Title - SciELO;Article Title - SciELO.1;Article Title - Chinese;Article Title - Russian;Patent Number;Patent Assignee;Source Title - Arabic;Source Title;Source Title - Korean;Book Series Title;Book Series Subtitle;Volume;Issue;Special Issue;Meeting Abstract;Start Page;End Page;Article Number;Version;Version History;DOI;Book DOI;License Name;License URI;License Description;Early Access Date;Supplement;Document Type;Publication Date;Publication Year;Abstract;Abstract - Foreign;Abstract - English Transliteration;Abstract - Foreign.1;Abstract - Korean;Conference Title;Conference Date;Conference Sponsor;Conference Location;Times Cited, WoS Core;Times Cited, CSCD;Times Cited, RSCI;Times Cited, ARCI;Times Cited, BCI;Times Cited, SCIELO;Times Cited, All Databases;180 Day Usage Count;Since 2013 Usage Count;ISSN;eISSN;ISBN;Grant Number;No of References;Cited References;Language;Advisor;Committee Member;Copyright;Degree Name;Institution Address;Institution;Dissertation and Thesis Subjects;Author Keywords;Indexed Date;UT (Unique ID);Pubmed Id;Unnamed: 78
10;J;Singh B. P., Govindakrishnan P. M., Ahmad Islam, Rawat Shashi, Sharma Sanjeev, Sreekumar J.;;;;Sharma, Sanjeev/H-8147-2013 Sreekumar, Janardanan/ABB-2880-2020;Janardanan Nair, Sreekumar/0000-0002-4253-6378 Sharma, Sanjeev Kumar/0000-0002-3273-0708 Sharma, Sanjeev/0000-0002-1883-3284;;;;;INDO-BLIGHTCAST - a model for forecasting late blight across agroecologies;;;;;;;;INTERNATIONAL JOURNAL OF PEST MANAGEMENT;;;;62.0;4.0;;;360;367;;;;10.1080/09670874.2016.1210839;;;;;;;Article;OCT-DEC 2016;2016;A late blight forecasting model INDO-BLIGHTCAST has been developed at the Central Potato Research Institute, Shimla, India using meteorological data and late blight appearance dates at four locations in the Indo-Gangetic plains. The model involves computation of physiological days (P-days) and mean relative humidity (RH) of the night, accrued over seven consecutive days. Late blight was predicted to appear within 15days if moving cumulative effective temperature (P-days) and RH exceeded 52.5 and 525, respectively for seven consecutive days. The developed model was also tested against independent data sets at three locations in the plains, two in plateau region and three in the hills. Statistical comparisons of observed and predicted dates of late blight appearance showed that the mean absolute error was 10.48, while the residual mean square error was only 13.17 indicating that the errors were quite low. The Willmott D index was 0.84 which is quite close to unity thus indicating high accuracy of model predictions and its applicability across regions and seasons. Receiver operating characteristic analysis also confirmed the superiority of this combination (accuracy of 73.6%, AUC of 0.725) to predict late blight appearance as well as its non-appearance in unfavourable years.;;;;;;;;;5;0;0;0;4;0;6;1;8;0967-0874;1366-5863;;;;;;;;;;;;;;2016-12-07;WOS:000385781500013;;
11;J;Ali Yasir, Raza Ahmed, Aatif Hafiz Muhammad, Ijaz Muhammad, Ul-Allah Sami, Rehman Shafeeq Ur, Mahmoud Sabry Y. M., Farrag Eman Saleh Hassan, Amer Mahmoud A., Moustafa Mahmoud;;;;Mahmoud, Sabry/AAL-9183-2020 FARAG, EMAN/GNO-9585-2022 Moustafa, Mohamed/L-4023-2019 aatif, muhammad/HHZ-2490-2022 ijaz, Muhammad/GXF-2451-2022 Youssef, Mahmoud/HTO-6037-2023 Ul-Allah, Sami/B-3782-2018 Ur Rahman, Shafeeq/GQG-9782-2022;Ali, Yasir/0000-0002-3795-7469 Ul-Allah, Sami/0000-0003-1619-9432 Ur Rahman, Shafeeq/0000-0003-4736-5229 Mahmoud, Sabry/0000-0001-9599-4754 Raza, Ahmed/0000-0002-6553-8069 Amer, Mahmoud/0000-0001-6595-4022;;;;;Regression Modeling Strategies to Predict and Manage Potato Leaf Roll Virus Disease Incidence and Its Vector;;;;;;;;AGRICULTURE-BASEL;;;;12.0;4.0;;;;;550;;;10.3390/agriculture12040550;;;;;;;Article;APR 2022;2022;The potato leaf roll virus (PLRV) disease is a serious threat to successful potato production and is mainly controlled by integrated disease management however, the use of chemicals is excessive and non-judicious, and it could be rationalized using a predictive model based on meteorological variables. The goal of the present investigation was to develop a disease predictive model based on environmental responses viz. minimum and maximum temperature, rainfall and relative humidity. The relationship between epidemiological variables and PLRV disease incidence was determined by correlation analysis, and a stepwise multiple regression was used to develop a model. For this purpose, five years (2010-2015) of data regarding disease incidence and epidemiological variables collected from the Plant Virology Section Ayub Agriculture Research Institute (AARI) Faisalabad were used. The model exhibited 94% variability in disease development. The predictions of the model were evaluated based on two statistical indices, residual (%) and root mean square error (RMSE), which were <=+/- 20, indicating that the model was able to predict disease development. The model was validated by a two-year (2015-2017) data set of epidemiological variables and disease incidence collected in Faisalabad, Pakistan. The homogeneity of the regression equations of the two models, five years (Y = -47.61 - 0.572x 1 + 0.218x 2 + 3.78x 3 + 1.073x 4 ) and two years (Y = -28.93 - 0.148x(1) + 0.510x(2) + 0.83x(3) + 0.569x(4)), demonstrated that they validated each other. Scatter plots indicated that minimum temperature (5-18.5 degrees C), maximum temperature (19.1-34.4 degrees C), rainfall (3-5 mm) and relative humidity (35-85%) contributed significantly to disease development. The foliar application of salicylic acid alone and in combination with other treatments significantly reduced the PLRV disease incidence and its vector population over control. The salicylic acid together with acetamiprid proved the most effective treatment against PLRV disease incidence and its vector M. persicae.;;;;;;;;;1;0;0;0;0;0;1;1;14;;2077-0472;;;;;;;;;;;;;;2022-04-29;WOS:000785239300001;;
12;J;Baker Kathleen M., Kirk William W.;;;;;;;;;;Comparative analysis of models integrating synoptic forecast data into potato late blight risk estimate systems;;;;;;;;COMPUTERS AND ELECTRONICS IN AGRICULTURE;;;;57.0;1.0;;;23;32;;;;10.1016/j.compag.2007.01.011;;;;;;;Article;MAY 2007;2007;Determinacy analysis, logistic regression, discriminant analysis and neural network models were compared for their accuracy in 5-day (120h) forecasts of daily potato late blight risk according to a modified-Wallin disease severity model. For 12 locations in Michigan, variables derived from extended forecast data (MEX) from the National Weather Service model output statistics (MOS) were compared with those similarly derived from Unedited Local Climatological Data (ULCD) for the growing seasons 2001-2004. The most effective model for late blight risk prediction based on comparison with risk estimated with ULCD was a resilient propagation (Rprop) neural network model with 49 variables and 10 hidden nodes. The neural network model had significantly higher overall accuracy than the other models, and was particularly successful at predicting risk values in June, July, and August when knowledge of potato late blight risk is most critical to growers making management decisions with regard to fungicide sprays and irrigation scheduling. The neural network model was also significantly more accurate than the regional average of days with no late blight risk (0.72%). For each of the four models, monthly accuracy at any single station was negatively correlated with the percentage of days per month classified as risk days for potato late blight (P = 0.01). Although no validation with disease data was conducted, such models are still useful in the context of advising growers of forecast conditions that may be favorable for late blight according to model values, such as Wallin style disease severity values, with which they are familiar. (c) 2007 Elsevier B.V. All rights reserved.;;;;;;;;;14;1;0;0;7;0;18;0;21;0168-1699;;;;;;;;;;;;;;;2007-05-01;WOS:000246292400003;;
13;J;Oroian Ioan Gheorge, Odagiu Antonia, Covrig Ilie, Paulette Laura, Rusu Teodor;;;;Covrig, Ilie/AAA-7293-2021 Odagiu, Antonia/ABO-0651-2022 Paulette, Laura/J-4639-2019 Teodor, Rusu/G-2199-2011;Teodor, Rusu/0000-0002-5979-3258;;;;;Testing multiregression model in predicting Phytophtora infestans L. attack degree on potato culture developed in climatic conditions from Transylvania, Romania;;;;;;;;JOURNAL OF FOOD AGRICULTURE & ENVIRONMENT;;;;11.0;1.0;;;449;453;;;;;;;;;;;Article;2013;2013;Because global warming accompanied by alteration of precipitation regime became a real threat, worldwide, and potato is one of the most important cultures, increased interest was focused on the influence of the interaction of the climatic factors on potato most aggressive pathogen Phytophtora infestans (Mont) de Bary, which produces the disease called late blight. Based on this reality, our study was aimed to test at low scale the possibility of estimating the effect of Phytophtora infestans L. attack degree (AD) on a potato culture developed in Transylvania, Romania, under conditions of climate change, using the multiregression model. The specific objectives of the study were to annually evaluate the interdependence between temperature, precipitation quantities and Phytophtora infestans AD%, during three experimental years, 2009, 2010 and 2011, between 1st of April and 30th of September each year, to simulate the impact of the possible climatic scenarios on Phytophtora infestans AD% evolutions, and to evaluate the opportunity of using the multiregression model in predicting Phytophtora infestans AD% on potato cultures function of climatic factors, under conditions of conventional treatments. The use of the multiregression model explained 85% of the variation of the Phytophtora infestans attack degree in response to climatic conditions in studied area. The independent variables are in different relationships with Phytophtora infestans AD%, precipitation presents a lower relationship than the temperature. The same interaction was found when climatic change scenarios were developed. When temperature increases or decreases with 2 degrees C and precipitation increases or decreases by 50%, precipitation quantities explain less on Phytophtora infestans AD%, compared with temperature. The study demonstrates the possibility of using the multiregression model in order to predict Phytophtora infestans attack degree on potato under specific climatic conditions.;;;;;;;;;1;0;0;0;1;0;1;0;31;1459-0255;1459-0263;;;;;;;;;;;;;;2013-04-03;WOS:000315827100001;;
14;J;Rakotonindraina Toky, Chauvin Jean-Eric, Pelle Roland, Faivre Robert, Chatot Catherine, Savary Serge, Aubertot Jean-Noel;;;;;;;;;;Modeling of Yield Losses Caused by Potato Late Blight on Eight Cultivars with Different Levels of Resistance to Phytophthora infestans;;;;;;;;PLANT DISEASE;;;;96.0;7.0;;;935;942;;;;10.1094/PDIS-09-11-0752;;;;;;;Article;JUL 2012;2012;The Shtienberg model for predicting yield loss caused by Phytophthora infestans in potato was developed and parameterized in the 1990s in North America. The predictive quality of this model was evaluated in France for a wide range of epidemics under different soil and weather conditions and on cultivars different than those used to estimate its parameters. A field experiment was carried out in 2006, 2007, 2008, and 2009 in Brittany, western France to assess late blight severity and yield losses. The dynamics of late blight were monitored on eight cultivars with varying types and levels of resistance. The model correctly predicted relative yield losses (efficiency = 0.80, root mean square error of prediction = 13.25%, and bias = 0.36%) as a function of weather and the observed disease dynamics for a wide range of late blight epidemics. In addition to the evaluation of the predictive quality of the model, this article provides a dataset that describes the development of various late blight epidemics on potato as a function of weather conditions, fungicide regimes, and cultivar susceptibility. Following this evaluation, the Shtienberg model can be used with confidence in research and development programs to better manage potato late blight in France.;;;;;;;;;15;1;0;0;11;0;17;2;40;0191-2917;;;;;;;;;;;;;;;2012-07-12;WOS:000305379400002;30727206.0;
15;J;Skelsey P., Kettle H., MacKenzie K., Blok V.;;;;Skelsey, Peter/L-7786-2013;;;;;;Potential impacts of climate change on the threat of potato cyst nematode species in Great Britain;;;;;;;;PLANT PATHOLOGY;;;;67.0;4.0;;;909;919;;;;10.1111/ppa.12807;;;;;;;Article;MAY 2018;2018;Potato cyst nematode (PCN) species have different temperature optima for various life cycle stages, therefore a risk assessment of the threat of PCN species under future climates is essential to guide adaptation strategies. Data defining the spatial coverage of potato crops in Great Britain were combined with probabilistic climate change data and a newly developed PCN life cycle model to project the future risk to potato crops from PCN. The model was based on the results of controlled environment experiments to investigate the effect of temperature on survival to female maturity using three PCN populations: Globodera pallida (Lindley) and G. rostochiensis from the James Hutton Institute PCN collection, and a field population of G. pallida (S-Fife). It was found that projected increases in soil temperature could result in increased survival to female maturity for all three PCN populations, with greater increases expected for Scotland, followed by Wales then England. The largest projected increases in Scotland were for G. pallida, whereas G. rostochiensis showed the largest increases in Wales and England. The potential impact of several agronomic adaptation strategies on projected PCN risk were also investigated. The results from the model suggest that soil infestation levels would have to be reduced by up to 40% in order to negate projected increases in PCN risk, and that advancing the start date of the growing season or modifying planting patterns could be successful strategies to reduce future PCN risk.;;;;;;;;;12;3;0;0;11;0;15;0;37;0032-0862;1365-3059;;;;;;;;;;;;;;2018-04-27;WOS:000429578000015;;
16;J;Cucak Mladen, Sparks Adam, Moral Rafael de Andrade, Kildea Stephen, Lambkin Keith, Fealy Rowan;;;;Cucak, Mladen/AAK-6361-2020 Fealy, Rowan/MIN-4342-2025 de Andrade Moral, Rafael/M-3184-2016 Sparks, Adam H./D-3607-2011;de Andrade Moral, Rafael/0000-0002-0875-3563 Fealy, Rowan/0000-0002-9601-2633 Cucak, Mladen/0000-0001-5429-5340 Sparks, Adam H./0000-0002-0061-8359;;;;;Evaluation of the 'Irish Rules': The Potato Late Blight Forecasting Model and Its Operational Use in the Republic of Ireland;;;;;;;;AGRONOMY-BASEL;;;;9.0;9.0;;;;;515;;;10.3390/agronomy9090515;;;;;;;Article;SEP 2019;2019;Potato late blight caused by Phytophthora infestans is one of the most important plant diseases known, requiring high pesticide inputs to prevent disease occurrence. The disease development is highly dependent on weather conditions, and as such, several forecasting schemes have been developed worldwide which seek to reduce the inputs required to control the disease. The Irish Rules, developed in the 1950s and calibrated to accommodate the meteorological network, the characteristics of potato production and the P. infestans population at the time, is still operationally utilized by the national meteorological agency, Met eireann. However, numerous changes in the composition and dynamics of the pathosystem and the risks of production/economic consequences associated with potato late blight outbreaks have occurred since the inception of the Irish Rules model. Additionally, model and decision thresholds appear to have been selected ad hoc and without a clear criteria. We developed a systematic methodology to evaluate the model using the empirical receiver operating curve (ROC) analysis and the response surface methodology for the interpretation of the results. The methodology, written in the R language, is provided as an open, accessible and reproducible platform to facilitate the ongoing seasonal re-evaluation of the Irish Rules and corresponding decision thresholds. Following this initial analysis, based on the available data, we recommend the reduction of the thresholds for relative humidity and an initial period duration from 90% and 12 h to 88% and 10 h, respectively. Contrary to recent reports, we found that the risk of blight epidemics remains low at temperatures below 12 degrees C. With the availability of more comprehensive outbreak data and with greater insight into the founder population to confirm our findings as robust, the temperature threshold in the model could potentially be increased from 10 degrees C to 12 degrees C, providing more opportunities for reductions of pesticide usage. We propose a dynamic operational decision threshold between four and 11 effective blight hours (EBH) set according to frequency of the disease outbreaks in the region of interest. Although the risk estimation according to the new model calibrations is higher, estimated chemical inputs, on average, are lower than the usual grower's practice. Importantly, the research outlined here provides a robust and reproducible methodological approach to evaluate a semi-empirical plant disease forecasting model.;;;;;;;;;6;1;0;0;4;0;7;1;23;;2073-4395;;;;;;;;;;;;;;2019-10-11;WOS:000487728800032;;
17;J;Cohen Y., Goldstein E., Hetzroni A., Lensky I., Zig U., Tsror (Lahkim) L.;;;;Cohen, Yafit/AAL-7233-2020 Lensky, Itamar/B-5285-2014;Lensky, Itamar/0000-0001-7594-5277 Goldshtein, Eitan/0000-0003-1450-5491;;;;;A knowledge-based prediction model of Verticillium wilt on potato and its use for rational crop rotation;;;;;;;;COMPUTERS AND ELECTRONICS IN AGRICULTURE;;;;85.0;;;;112;122;;;;10.1016/j.compag.2012.02.011;;;;;;;Article;JUL 2012;2012;Verticillium dahliae is the major causal agent of potato early dying (PED) syndrome, characterized by stunting, chlorosis and wilting, premature senescence and early plant dying. It is a common practice to reduce the risk of Verticillium wilt (VW) by applying a rational crop rotation. A knowledge based prediction model for VW was developed and validated. it was based on experimental data and practical management experience, and utilized a knowledge-based approach to acquire the expert knowledge. The potential contribution of this approach was demonstrated in the process of knowledge acquisition and in the model development. The experts identified eight major factors that affect disease development (in descending order of importance): inoculum level in the soil, cultivar susceptibility, fumigation history, frequency of susceptible crops within a crop rotation, growing season, fallow seasons within a crop rotation, infection level in the tubers and soil type. The procedure used for selecting the factors and the method used for extracting their relative weights (pairwise comparison) was proved to be useful as the factor and their relative weights replicated the conclusions of studies from other sites. Additionally, the prediction model was found to be 80% accurate. The prediction model was integrated in a spatial decision support system (SDSS), built under ArcGIS 10, that advises the farmer on plot allocation for potato growing with minimal risk of VW. The SDSS interface and its outputs are presented using real-world data. Effective use of the SDSS by farmers requires the construction of a historical database that includes values of the abovementioned factors and a user-friendly interface for routine updating. (C) 2012 Elsevier B.V. All rights reserved.;;;;;;;;;6;0;0;0;4;0;7;0;49;0168-1699;;;;;;;;;;;;;;;2012-07-01;WOS:000306879900015;;
18;J;Johnson Anna C. Seidl, Frost Kenneth E., Rouse Douglas I., Gevens Amanda J.;;;;;Frost, Kenneth/0000-0002-1371-4681;;;;;Effect of Temperature on Growth and Sporulation of US-22, US-23, and US-24 Clonal Lineages of Phytophthora infestans and Implications for Late Blight Epidemiology;;;;;;;;PHYTOPATHOLOGY;;;;105.0;4.0;;;449;459;;;;10.1094/PHYTO-03-14-0064-R;;;;;;;Article;APR 2015;2015;Epidemics of late blight, caused by Phytophthora infestans (Mont.) de Bary, have been studied by plant pathologists and regarded with great concern by potato and tomato growers since the Irish potato famine in the 1840s. P. infestans populations have continued to evolve, with unique clonal lineages arising which differ in pathogen fitness and pathogenicity, potentially impacting epidemiology. In 2012 and 2013, the US-23 clonal lineage predominated late blight epidemics in most U. S. potato and tomato production regions, including Wisconsin. This lineage was unknown prior to 2009. For isolates of three recently identified clonal lineages of P. infestans (US-22, US-23, and US-24), sporulation rates were experimentally determined on potato and tomato foliage and the effect of temperature on lesion growth rate on tomato was investigated. The US-22 and US-23 isolates had greater lesion growth rates on tomato than US-24 isolates. Sporulation rates for all isolates were greater on potato than tomato, and the US-23 isolates had greater sporulation rates on both tomato and potato than the US-22 and US-24 isolates. Experimentally determined correlates of fitness were input to the LATEBLIGHT model and epidemics were simulated using archived Wisconsin weather data from four growing seasons (2009 to 2012) to investigate the effect of isolates of these new lineages on late blight epidemiology. The fast lesion growth rates of US-22 and US-23 isolates resulted in severe epidemics in all years tested, particularly in 2011. The greater sporulation rates of P. infestans on potato resulted in simulated epidemics that progressed faster than epidemics simulated for tomato the high sporulation rates of US-23 isolates resulted in simulated epidemics more severe than simulated epidemics of isolates of the US-22 and US-24 isolates and EC-1 clonal lineages on potato and tomato. Additionally, US-23 isolates consistently caused severe simulated epidemics when lesion growth rate and sporulation were input into the model singly or together. Sporangial size of the US-23 isolates was significantly smaller than that of US-22 and US-24 isolates, which may result in more efficient release of sporangia from the tomato or potato canopy. Our experimentally determined correlates of fitness and the simulated epidemics resulting from their incorporation into the LATEBLIGHT model suggest that US-23 isolates of P. infestans may have the greatest fitness among currently prevalent lineages and may be the most likely lineage to persist in the P. infestans population. The US-23 clonal lineage has been documented as the most prevalent lineage in recent years, indicating its overall fitness. In our work, US-23 had the highest epidemic potential among current genotypes. Given that epidemic potential is a component of fitness, this may, in part, explain the current predominance of the US-23 lineage.;;;;;;;;;14;0;0;0;13;0;20;1;41;0031-949X;1943-7684;;;;;;;;;;;;;;2015-05-13;WOS:000352979600006;25423069.0;
19;J;Vasquez Diego F., Hernandez Anngie, Torres Diana, Borrero-Echeverry Felipe, Zuluaga Paola, Rincon Diego F.;;;;zuluaga, paola/KLD-8121-2024 Borrero-Echeverry, Felipe/C-1958-2012 Zuluaga Cruz, Andrea Paola/H-6817-2015;Zuluaga Cruz, Andrea Paola/0000-0002-3003-4856 Rincon, Diego/0000-0001-6869-4430;;;;;Drought as a modulator of plant-virus-vector interactions: Effects on symptom expression, plant immunity and vector behaviour;;;;;;;;PLANT PATHOLOGY;;;;71.0;6.0;;;1282;1292;;;;10.1111/ppa.13554;;;;;MAR 2022;;Article;AUG 2022;2022;Plant-virus interactions are affected by environmental conditions that determine plant vulnerability to pathogens and the population dynamics of insect vectors. We hypothesize that drought enhances horizontal transmission by dampening the basal immunity of plants, which triggers symptom expression and vector manipulation. The potato yellow vein virus (PYVV) causes potato yellow vein disease (PYVD), a re-emerging epidemic of potato crops in South America, and is transmitted horizontally by the greenhouse whitefly (GWF), Trialeurodes vaporariorum (Hemiptera: Aleyrodidae), or vertically through infected seed tubers. We investigated the role of drought and temperature as modulators of PYVD symptom expression, plant immune response, and vector survival, development and host preference. We found that drought induced symptom expression, suppressed the salicylic acid pathway and increased PYVV replication. GWF survival was reduced on PYVV-infected hosts and development was slowest when they fed on plants with PYVD symptoms, which also triggered adults' attraction to PYVV-infected plants. However, adults previously fed on infected plants showed the opposite effect, being more attracted to PYVV-free plants. We propose a theoretical model that explains the role of drought in modulating potato-PYVV-GWF interactions and provides new insights into plant-virus-vector coevolution.;;;;;;;;;6;0;0;0;3;0;6;0;20;0032-0862;1365-3059;;;;;;;;;;;;;;2022-04-22;WOS:000780178700001;;
20;J;Liaqat N., Khan M. A., Atiq M., Khan M. A.;;;;Hayat, Muhammad/E-8340-2011 Asgher, Muhammad/ABB-7913-2021;;;;;;INFLUENCE OF ENVIRONMENTAL FACTORS ON THE DEVELOPMENT OF POTATO BLACKLEG DISEASE;;;;;;;;APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH;;;;20.0;2.0;;;1325;1333;;;;10.15666/aeer/2002_13251333;;;;;DEC 2021;;Article;2022;2022;Climatic conditions play a crucial part regarding the development of blackleg caused by Pectobacterium atrocepticum (Pa), which is one of the major threats the potato industry faced. These factors affect the stage of growth, host susceptibility, succulence, vigor, survival, rate of multiplication, direction of pathogen dispersion, rate of spore penetration and germination. In the present experiment, effect of these environmental variables like maximum and minimum temperature (max and min T), relative humidity (RH), rainfall (RF), and wind speed (WS) on disease development were studied. Significant positive correlation was observed for all twenty-five varieties and a multiple regression model (Y = + 24.382 + 0.3592X(1) + .0970X(2) -0.2551X(3) + 1.982X(4)) based on the two-year study was developed to find out the relationship between environmental parameters and disease projection. Goodness of model was indicated by coefficient determination value (97.5%). Correlation of these environmental factors on the development of disease on twenty-five potato varieties during 2018, 2019 was done. Significant positive correlation was observed on all twenty-five varieties. In conclusion, it was established that environmental factors, including max. T (28 degrees C), min. T (15 degrees C), RH 70%, and WS 3.5 Km/h were conducive for the development of blackleg. Current study would be helpful for researchers in designing better disease management strategies under changing climatic conditions in the future.;;;;;;;;;2;0;0;0;2;0;2;0;5;1589-1623;1785-0037;;;;;;;;;;;;;;2022-04-15;WOS:000779425900001;;
21;J;Li Qing, Zhang Xueyan, Ma Xin, Li Hailong;;;;;Li, Qing/0009-0003-0420-6057;;;;;Evaluating the Applicability of the TOMCAST Model for the Control of Potato Early Blight in China;;;;;;;;PLANTS-BASEL;;;;12.0;8.0;;;;;1634;;;10.3390/plants12081634;;;;;;;Article;APR 2023;2023;To explore the applicability of different fungicide application schemes to control potato early blight (mainly caused by Alternaria solani) in China, field trials were conducted from 2020 to 2022, combining different fungicides with the tomato forecaster (TOMCAST) model and using weather variables to adjust the minimum temperature of TOMCAST to 7 degrees C. To effectively manage potato early blight, the TOMCAST model combines relative humidity (>88%) and air temperature to calculate daily severity values (DSVs). The application of fungicides (fungicide schedule) is as follows: untreated two standard treatments, Amimiaoshou SC and Xishi SC, applied at the first appearance of disease symptoms and two different TOMCAST treatments, in which fungicides are applied when the physiological days add up to 300 days and DSVs add up to 15. This study quantifies the intensity of early blight as the area under the disease progression curve and the final disease severity. Additionally, a progress curve for early blight is constructed to compare the development of early blight in different years and treatments. The TOMCAST-15 model reduces the number of fungicide applications in addition to significantly suppressing the development of early blight. Furthermore, fungicide application significantly increases the dry matter and starch contents of potatoes, and TOMCAST-15 x Amimiaoshou SC has similar enhancement effects on dry matter, protein, reducing sugar, and starch contents compared with Amomiaohou SC and Xishi SC. As a result, TOMCAST x Amimiaoshou SC may be an effective alternative to the standard treatment and have good applicability in China.;;;;;;;;;1;0;0;0;0;0;1;1;11;2223-7747;;;;;;;;;;;;;;;2023-05-22;WOS:000976847600001;37111858.0;
22;J;Gu Y. H., Yoo S. J., Park C. J., Kim Y. H., Park S. K., Kim J. S., Lim J. H.;;;;YOO, SEONG/AAB-3791-2021 Kim, Jung/JAO-0332-2023 Park, Chang-Jin/AAX-1867-2021;;;;;;BLITE-SVR: New forecasting model for late blight on potato using support-vector regression;;;;;;;;COMPUTERS AND ELECTRONICS IN AGRICULTURE;;;;130.0;;;;169;176;;;;10.1016/j.compag.2016.10.005;;;;;;;Article;NOV 15 2016;2016;Various simple statistical methods have been used for the prediction of plant-disease epidemics. However, the need to develop a new model, reflecting many changed environmental factors and applicable to the Korean domestic farmhouse, has been raised. Given this point, we developed the potato late blight prediction model called BLITE-SVR, after which we predicted and verified the first date of occurrence with the data from 1976 to 1985 and from 2009 to 2012 through support-vector regression (SVR), a statistical method offering good performance. For the prediction model, we collected 13 kinds of weather data, including temperature, humidity, evaporation, and so on, which displayed very high correlation to the first date of the occurrence of late blight. The performance of BLITE-SVR has been evaluated through comparison with the conventional moving-average method that was previously used, as well as through pace regression and linear regression. The accuracy of prediction for the first date of occurrence was 64.3% by BLITE-SVR, thus showing a higher degree of accuracy compared with 42.9% by the conventional moving-average method, 42.9% by pace regression and 35.7% by linear regression. This study will enable farmers to match the targeted fungicide application to the time of greatest need and thereby achieve a reduction in chemical use. (C) 2016 Published by Elsevier B.V.;;;;;;;;;34;1;0;0;10;0;34;1;26;0168-1699;1872-7107;;;;;;;;;;;;;;2017-01-18;WOS:000390515300016;;
23;J;He Yitong, Wang Rui, Zhao Honghai, Ren Yonglin, Agarwal Manjree, Zheng Dan, Gao Shan, McKirdy Simon J., Chu Dong;;;;He, Yitong/ACQ-7412-2022 Zheng, Dan/KLZ-6622-2024 CHU, DONG/AAI-1892-2020;HE, Yitong/0000-0002-7468-6071 Agarwal, Manjree/0000-0002-8781-3850;;;;;Predicting potential global distribution and risk regions for potato cyst nematodes (Globodera rostochiensis and Globodera pallida);;;;;;;;SCIENTIFIC REPORTS;;;;12.0;1.0;;;;;21843;;;10.1038/s41598-022-26443-0;;;;;;;Article;DEC 17 2022;2022;Potato cyst nematodes (PCNs), golden (yellow) cyst nematode (Globodera rostochiensis, gPCN) and pale (white) cyst nematode (G. pallida, pPCN), are important invasive pests in many countries and regions where they can cause significant yield and economic loss for agriculture. Prediction and identification of habitats suitable for PCNs are critical for developing biosecurity strategies, both pre and post border, to maximise the potential for early elimination should an incursion occur. To date, the potential global distribution of PCNs has not been thoroughly studied. Therefore, this study conducted a species distribution model to illustrate the potential global distribution of PCNs and risk regions. In this study, the Maximum Entropy Model (Maxent) associated with the Geographic Information System (GIS) was employed to reveal the potential distribution of the gPCN and pPCN. In addition to bioclimate, soil quality was also included in the model. The global cultivated lands, whether the susceptible hosts were present or not, were used to assess the maximum potential risk regions. The limitation factors for PCNs distribution were also assessed. Results showed that 66% of the global land surface was suitable for gPCN or pPCN or both, and both species can colonise more than 75% of the global cultivated lands. The coldest quarter's mean temperature and precipitation were critical limitations in unsuitable regions. In summary, the global risk maps of PCNs contribute valuable additional information that complements previous national/regional distribution predictions. The results of this distribution research will contribute practical support for decision-makers and practitioners to implement biosecurity strategies from a global perspective, that incorporate prevention or promptly enforce control practices to limit the damage caused by future incursions.;;;;;;;;;8;1;0;0;6;0;8;5;25;2045-2322;;;;;;;;;;;;;;;2023-02-12;WOS:000900133700009;36528656.0;
24;J;Ewing David A., Blok Vivian, Kettle Helen;;;;Ewing, David/ADX-2936-2022;;;;;;A process-based, stage-structured model of potato cyst nematode population dynamics: Effects of temperature and resistance;;;;;;;;JOURNAL OF THEORETICAL BIOLOGY;;;;522.0;;;;;;110701;;;10.1016/j.jtbi.2021.110701;;;;;APR 2021;;Article;AUG 7 2021;2021;Potato cyst nematodes (PCN) are responsible for large losses in potato yields in many of the world's potato-growing regions. As soil temperatures increase due to climate change, there is potential for faster growth rates of PCN, allowing development of multiple generations in a growing season. We develop a process-based temperature-dependent model representing the life cycle of Globodera pallida, comprising juvenile, adult and cyst/diapause stages. To incorporate variability in the amount of time spent in each stage caused by genetic/environmental variation, the model is based on a mix of ordinary differential equations (ODEs) with sub-stages, and delay differential equations (DDEs). The effect of climate change is incorporated through the influence of soil temperature on the rate of development and survival in the hatching and juvenile stages. The level of the plant resistance to PCN is incorporated via the proportion of juveniles which become adults. After comparing the model with field data we run simulations to explore the effects of temperature and resistance on PCN populations. We find that with higher temperatures and longer growing seasons multiple generations of PCN can develop within a season, provided any required diapause period is short. Despite this, we show that growing resistant potatoes is a very effective control strategy and planting potatoes with even moderate levels of resistance can counter the effects of climate change. (C) 2021 Elsevier Ltd. All rights reserved.;;;;;;;;;6;0;0;0;5;0;6;1;23;0022-5193;1095-8541;;;;;;;;;;;;;;2021-06-05;WOS:000652405200009;33794290.0;
